Duty No,Sign On Time,Sign On Loc,Sign Off Loc,Sign Off Time,Driving Hrs,Duty Hrs,Same Jurisdiction,Rake Num,Start Stn,Start Time,End Stn,End Time,Service Duration,Break,StepBack Rake
425,,,,,,,,317,YB DN,11:28,YB UP,13:01,93,0,335
,,,,,,,,,,,,,
901,06:32,YB UP,DW UP,11:42,02:49,05:10,No,323,YB UP,06:47,DW UP,07:43,56,85,No StepBack
901,,,,,,,,333,DW DN,09:08,YB DN,10:05,57,31,No StepBack
901,,,,,,,,302,YB UP,10:36,DW UP,11:32,56,0,No StepBack
,,,,,,,,,,,,,
220,06:33,DW DN,DW UP,14:07,05:17,07:34,Yes,303,DW DN,06:48,YB DN,07:44,56,0,No StepBack
220,,,,,,,,303,YB DN,07:44,YB UP,09:17,93,51,320
220,,,,,,,,327,YB UP,10:08,DW UP,11:04,56,30,No StepBack
220,,,,,,,,322,DW DN,11:34,YB DN,12:30,56,31,No StepBack
220,,,,,,,,335,YB UP,13:01,DW UP,13:57,56,0,No StepBack
,,,,,,,,,,,,,
221,06:27,NFD,DW DN,12:34,03:57,06:07,Yes,334,NFD,06:52,DW DN,07:17,25,0,No StepBack
221,,,,,,,,334,DW DN,07:17,YB DN,08:13,56,0,No StepBack
221,,,,,,,,334,YB DN,08:13,YB UP,09:01,48,61,335
221,,,,,,,,315,YB UP,10:02,DW UP,10:58,56,34,No StepBack
221,,,,,,,,302,DW UP,11:32,DW DN,12:24,52,0,333
,,,,,,,,,,,,,
222,06:38,NFD,DW DN,14:37,05:31,07:59,Yes,335,NFD,07:03,DW DN,07:28,25,0,No StepBack
222,,,,,,,,335,DW DN,07:28,YB DN,08:24,56,0,No StepBack
222,,,,,,,,335,YB DN,08:24,YB UP,09:12,48,69,304
222,,,,,,,,329,YB DN,10:21,YB UP,11:54,93,0,312
222,,,,,,,,312,YB UP,11:54,DW UP,12:50,56,44,No StepBack
222,,,,,,,,328,DW UP,13:34,DW DN,14:27,53,0,317
,,,,,,,,,,,,,
223,06:48,DW UP,DW UP,14:29,05:50,07:41,Yes,315,DW UP,07:03,DW DN,07:56,53,33,309
