,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
416,720,IPE,19:44,PBGW UP,20:44,UP,60
420,722,KKDA UP,19:47,IPE,19:54,UP,7
439,710,MKPR,19:50,KKDA UP,20:27,UP,37
421,722,IPE,19:54,PBGW UP,20:54,UP,60
392,704,PBGW UP,19:54,MKPR,20:09,UP,15
425,724,KKDA UP,19:57,IPE,20:04,UP,7
444,712,MKPR,20:00,KKDA UP,20:37,UP,37
426,724,IPE,20:04,PBGW UP,21:04,UP,60
397,708,PBGW UP,20:04,MKPR,20:19,UP,15
430,706,KKDA UP,20:07,IPE,20:14,UP,7
449,704,MKPR,20:10,KKDA UP,20:47,UP,37
431,706,IPE,20:14,PBGW UP,21:14,UP,60
402,714,PBGW UP,20:14,MKPR,20:29,UP,15
435,702,KKDA UP,20:17,IPE,20:24,UP,7
454,708,MKPR,20:20,KKDA UP,20:57,UP,37
407,716,PBGW UP,20:24,MKPR,20:39,UP,15
436,702,IPE,20:24,PBGW UP,21:24,UP,60
440,710,KKDA UP,20:27,IPE,20:34,UP,7
459,714,MKPR,20:30,KKDA UP,21:07,UP,37
441,710,IPE,20:34,PBGW UP,21:34,UP,60
412,718,PBGW UP,20:34,MKPR,20:49,UP,15
445,712,KKDA UP,20:37,IPE,20:44,UP,7
464,716,MKPR,20:40,KKDA UP,21:17,UP,37
446,712,IPE,20:44,PBGW UP,21:44,UP,60
417,720,PBGW UP,20:44,MKPR,20:59,UP,15
450,704,KKDA UP,20:47,IPE,20:54,UP,7
469,718,MKPR,20:50,KKDA UP,21:27,UP,37
451,704,IPE,20:54,PBGW UP,21:54,UP,60
422,722,PBGW UP,20:54,MKPR,21:09,UP,15
455,708,KKDA UP,20:57,IPE,21:04,UP,7
474,720,MKPR,21:00,KKDA UP,21:37,UP,37
427,724,PBGW UP,21:04,MKPR,21:19,UP,15
456,708,IPE,21:04,PBGW UP,22:04,UP,60
460,714,KKDA UP,21:07,IPE,21:14,UP,7
479,722,MKPR,21:10,KKDA UP,21:47,UP,37
432,706,PBGW UP,21:14,MKPR,21:29,UP,15
461,714,IPE,21:14,PBGW UP,22:14,UP,60
465,716,KKDA UP,21:17,IPE,21:24,UP,7
484,724,MKPR,21:20,KKDA UP,21:57,UP,37
437,702,PBGW UP,21:24,MKPR,21:39,UP,15
466,716,IPE,21:24,PBGW UP,22:24,UP,60
470,718,KKDA UP,21:27,IPE,21:34,UP,7
489,706,MKPR,21:30,KKDA UP,22:07,UP,37
471,718,IPE,21:34,PBGW UP,22:34,UP,60
442,710,PBGW UP,21:34,MKPR,21:49,UP,15
475,720,KKDA UP,21:37,IPE,21:44,UP,7
494,702,MKPR,21:40,KKDA UP,22:17,UP,37
447,712,PBGW UP,21:44,MKPR,21:59,UP,15
476,720,IPE,21:44,PBGW UP,22:44,UP,60
480,722,KKDA UP,21:47,IPE,21:54,UP,7
509,710,MKPR,21:50,KKDA UP,22:27,UP,37
481,722,IPE,21:54,PBGW UP,22:54,UP,60
452,704,PBGW UP,21:54,MKPR,22:09,UP,15
485,724,KKDA UP,21:57,IPE,22:04,UP,7
515,712,MKPR,22:00,KKDA UP,22:37,UP,37
457,708,PBGW UP,22:04,MKPR,22:19,UP,15
486,724,IPE,22:04,PBGW UP,23:04,UP,60
490,706,KKDA UP,22:07,IPE,22:14,UP,7
521,704,MKPR,22:10,KKDA UP,22:47,UP,37
499,719,MKPR,22:12,KKDA UP,22:50,UP,38
462,714,PBGW UP,22:14,MKPR,22:29,UP,15
491,706,IPE,22:14,PBGW UP,23:14,UP,60
495,702,KKDA UP,22:17,IPE,22:24,UP,7
504,721,MKPR,22:22,KKDA UP,23:00,UP,38
467,716,PBGW UP,22:24,MKPR,22:39,UP,15
496,702,IPE,22:24,PBGW UP,23:24,UP,60
510,710,KKDA UP,22:27,IPE,22:34,UP,7
526,714,MKPR,22:30,MUPR,22:52,UP,22
472,718,PBGW UP,22:34,MKPR,22:49,UP,15
511,710,IPE,22:34,PBGW UP,23:34,UP,60
516,712,KKDA UP,22:37,IPE,22:44,UP,7
529,716,MKPR,22:40,KKDA UP,23:17,UP,37
477,720,PBGW UP,22:44,MKPR,22:59,UP,15
517,712,IPE,22:44,PBGW UP,23:44,UP,60
522,704,KKDA UP,22:47,IPE,22:54,UP,7
500,719,KKDA UP,22:50,IPE,22:57,UP,7
534,718,MKPR,22:50,KKDA UP,23:27,UP,37
527,714,MUPR,22:52,MUPR 4TH PF STABLE,23:12,UP,20
482,722,PBGW UP,22:54,MKPR,23:09,UP,15
539,720,MKPR,23:00,MUPR,23:22,UP,22
505,721,KKDA UP,23:00,IPE,23:07,UP,7
487,724,PBGW UP,23:04,MKPR,23:19,UP,15
542,722,MKPR,23:10,MUPR,23:32,UP,22
492,706,PBGW UP,23:14,MKPR,23:29,UP,15
530,716,KKDA UP,23:17,IPE,23:24,UP,7
540,720,MUPR,23:22,SVVR DN SDG STABLE,23:50,UP,28
497,702,PBGW UP,23:24,MKPR,23:39,UP,15
535,718,KKDA UP,23:27,IPE,23:34,UP,7
548,709,MKPR,23:32,MUPR,23:54,UP,22
543,722,MUPR,23:32,MUPR 4TH SDG,23:52,UP,20
512,710,PBGW UP,23:34,MKPR,23:49,UP,15
518,712,PBGW UP,23:44,MKPR,23:59,UP,15
545,702,MKPR,23:50,MUPR,24:12,UP,22
549,709,MUPR,23:54,MUPR DN PF STABLE,24:14,UP,20
546,702,MUPR,24:12,MUPR 3RD SDG,24:32,UP,20
