,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
169,717,PBGW DN,19:18,KKDA DN,20:24,DN,66,no,No StepBack,No StepBack,655,703
351,713,KKDA DN,19:24,PBGW DN,20:17,DN,53,no,No StepBack,No StepBack,660,689
256,702,PBGW UP,19:24,KKDA UP,20:17,UP,53,no,No StepBack,No StepBack,658,672
73,718,KKDA UP,19:27,PBGW UP,20:34,UP,67,no,No StepBack,No StepBack,661,668
352,719,KKDA DN,19:34,PBGW DN,20:27,DN,53,no,No StepBack,No StepBack,667,697
257,710,PBGW UP,19:34,KKDA UP,20:27,UP,53,no,No StepBack,No StepBack,666,680
74,720,KKDA UP,19:37,PBGW UP,20:44,UP,67,no,No StepBack,No StepBack,670,675
170,701,PBGW DN,19:38,KKDA DN,20:44,DN,66,no,No StepBack,No StepBack,671,719
353,721,KKDA DN,19:44,PBGW DN,20:37,DN,53,no,No StepBack,No StepBack,676,705
258,712,PBGW UP,19:44,KKDA UP,20:37,UP,53,no,No StepBack,No StepBack,674,688
75,722,KKDA UP,19:47,PBGW UP,20:54,UP,67,no,No StepBack,No StepBack,678,684
171,709,PBGW DN,19:48,KKDA DN,20:54,DN,66,no,No StepBack,No StepBack,679,726
354,715,KKDA DN,19:54,PBGW DN,20:47,DN,53,no,No StepBack,No StepBack,682,713
76,724,KKDA UP,19:57,PBGW UP,21:04,UP,67,no,No StepBack,No StepBack,686,690
172,711,PBGW DN,19:58,KKDA DN,21:04,DN,66,no,No StepBack,No StepBack,687,735
259,708,PBGW UP,20:04,KKDA UP,20:57,UP,53,no,No StepBack,No StepBack,692,704
355,723,KKDA DN,20:04,PBGW DN,20:57,DN,53,no,No StepBack,No StepBack,691,721
173,703,PBGW DN,20:07,KKDA DN,21:12,DN,65,no,No StepBack,No StepBack,694,741
77,706,KKDA UP,20:07,PBGW UP,21:14,UP,67,no,No StepBack,No StepBack,693,699
260,714,PBGW UP,20:14,KKDA UP,21:07,UP,53,no,No StepBack,No StepBack,698,712
356,707,KKDA DN,20:14,PBGW DN,21:07,DN,53,no,No StepBack,No StepBack,700,729
174,713,PBGW DN,20:17,KKDA DN,21:22,DN,65,no,No StepBack,No StepBack,702,749
78,702,KKDA UP,20:17,PBGW UP,21:24,UP,67,no,No StepBack,No StepBack,701,707
261,716,PBGW UP,20:24,KKDA UP,21:17,UP,53,no,No StepBack,No StepBack,706,720
357,717,KKDA DN,20:24,PBGW DN,21:17,DN,53,no,No StepBack,No StepBack,708,737
79,710,KKDA UP,20:27,PBGW UP,21:34,UP,67,no,No StepBack,No StepBack,711,716
175,719,PBGW DN,20:27,KKDA DN,21:32,DN,65,no,No StepBack,No StepBack,709,757
262,718,PBGW UP,20:34,KKDA UP,21:27,UP,53,no,No StepBack,No StepBack,714,728
80,712,KKDA UP,20:37,PBGW UP,21:44,UP,67,no,No StepBack,No StepBack,717,722
176,721,PBGW DN,20:37,KKDA DN,21:42,DN,65,no,No StepBack,No StepBack,718,765
